Ajuste de dados com 100 passadas.
Time Analysist = > Start:19:55:21 | Ends:19:56:01 || Elapsed:39.60
============================================================
Epoch: 1/100        | Error = 0.001419
Epoch: 2/100        | Error = 0.001232
Epoch: 3/100        | Error = 0.001073
Epoch: 4/100        | Error = 0.000949
Epoch: 5/100        | Error = 0.000840
Epoch: 6/100        | Error = 0.000752
Epoch: 7/100        | Error = 0.000681
Epoch: 8/100        | Error = 0.000618
Epoch: 9/100        | Error = 0.000569
Epoch: 10/100        | Error = 0.000523
Epoch: 11/100        | Error = 0.000488
Epoch: 12/100        | Error = 0.000453
Epoch: 13/100        | Error = 0.000424
Epoch: 14/100        | Error = 0.000398
Epoch: 15/100        | Error = 0.000372
Epoch: 16/100        | Error = 0.000353
Epoch: 17/100        | Error = 0.000336
Epoch: 18/100        | Error = 0.000321
Epoch: 19/100        | Error = 0.000307
Epoch: 20/100        | Error = 0.000293
Epoch: 21/100        | Error = 0.000280
Epoch: 22/100        | Error = 0.000270
Epoch: 23/100        | Error = 0.000260
Epoch: 24/100        | Error = 0.000248
Epoch: 25/100        | Error = 0.000241
Epoch: 26/100        | Error = 0.000234
Epoch: 27/100        | Error = 0.000228
Epoch: 28/100        | Error = 0.000222
Epoch: 29/100        | Error = 0.000217
Epoch: 30/100        | Error = 0.000212
Epoch: 31/100        | Error = 0.000206
Epoch: 32/100        | Error = 0.000202
Epoch: 33/100        | Error = 0.000197
Epoch: 34/100        | Error = 0.000192
Epoch: 35/100        | Error = 0.000188
Epoch: 36/100        | Error = 0.000183
Epoch: 37/100        | Error = 0.000179
Epoch: 38/100        | Error = 0.000174
Epoch: 39/100        | Error = 0.000170
Epoch: 40/100        | Error = 0.000166
Epoch: 41/100        | Error = 0.000162
Epoch: 42/100        | Error = 0.000158
Epoch: 43/100        | Error = 0.000155
Epoch: 44/100        | Error = 0.000151
Epoch: 45/100        | Error = 0.000147
Epoch: 46/100        | Error = 0.000142
Epoch: 47/100        | Error = 0.000138
Epoch: 48/100        | Error = 0.000134
Epoch: 49/100        | Error = 0.000130
Epoch: 50/100        | Error = 0.000128
Epoch: 51/100        | Error = 0.000125
Epoch: 52/100        | Error = 0.000123
Epoch: 53/100        | Error = 0.000121
Epoch: 54/100        | Error = 0.000119
Epoch: 55/100        | Error = 0.000117
Epoch: 56/100        | Error = 0.000115
Epoch: 57/100        | Error = 0.000113
Epoch: 58/100        | Error = 0.000112
Epoch: 59/100        | Error = 0.000110
Epoch: 60/100        | Error = 0.000109
Epoch: 61/100        | Error = 0.000107
Epoch: 62/100        | Error = 0.000106
Epoch: 63/100        | Error = 0.000104
Epoch: 64/100        | Error = 0.000103
Epoch: 65/100        | Error = 0.000102
Epoch: 66/100        | Error = 0.000101
Epoch: 67/100        | Error = 0.000099
Epoch: 68/100        | Error = 0.000099
Epoch: 69/100        | Error = 0.000097
Epoch: 70/100        | Error = 0.000097
Epoch: 71/100        | Error = 0.000096
Epoch: 72/100        | Error = 0.000094
Epoch: 73/100        | Error = 0.000093
Epoch: 74/100        | Error = 0.000092
Epoch: 75/100        | Error = 0.000091
Epoch: 76/100        | Error = 0.000091
Epoch: 77/100        | Error = 0.000090
Epoch: 78/100        | Error = 0.000089
Epoch: 79/100        | Error = 0.000088
Epoch: 80/100        | Error = 0.000087
Epoch: 81/100        | Error = 0.000086
Epoch: 82/100        | Error = 0.000085
Epoch: 83/100        | Error = 0.000084
Epoch: 84/100        | Error = 0.000083
Epoch: 85/100        | Error = 0.000082
Epoch: 86/100        | Error = 0.000082
Epoch: 87/100        | Error = 0.000080
Epoch: 88/100        | Error = 0.000079
Epoch: 89/100        | Error = 0.000078
Epoch: 90/100        | Error = 0.000077
Epoch: 91/100        | Error = 0.000076
Epoch: 92/100        | Error = 0.000076
Epoch: 93/100        | Error = 0.000075
Epoch: 94/100        | Error = 0.000074
Epoch: 95/100        | Error = 0.000073
Epoch: 96/100        | Error = 0.000073
Epoch: 97/100        | Error = 0.000072
Epoch: 98/100        | Error = 0.000071
Epoch: 99/100        | Error = 0.000071
Epoch: 100/100        | Error = 0.000070
